Date,AAPL_Close,ABT_Close,AEP_Close,AXP_Close,BAC_Close,CI_Close,GD_Close,GE_Close,HON_Close,MMM_Close,MO_Close,MRK_Close,NEM_Close,NKE_Close,NSC_Close,PFE_Close,PG_Close,PTC_Close,SNA_Close,SO_Close,AAPL_Volume,ABT_Volume,AEP_Volume,AXP_Volume,BAC_Volume,CI_Volume,GD_Volume,GE_Volume,HON_Volume,MMM_Volume,MO_Volume,MRK_Volume,NEM_Volume,NKE_Volume,NSC_Volume,PFE_Volume,PG_Volume,PTC_Volume,SNA_Volume,SO_Volume,AAPL_Return,ABT_Return,AEP_Return,AXP_Return,BAC_Return,CI_Return,GD_Return,GE_Return,HON_Return,MMM_Return,MO_Return,MRK_Return,NEM_Return,NKE_Return,NSC_Return,PFE_Return,PG_Return,PTC_Return,SNA_Return,SO_Return
1992-11-25,0.4132727086544037,3.5588536262512207,7.348503112792969,3.790745735168457,5.654089450836182,4.483136177062988,4.4868950843811035,24.94954490661621,7.150836944580078,11.0766019821167,1.2443952560424805,7.8959784507751465,19.896940231323242,2.0966954231262207,10.431071281433105,2.519315004348755,6.523018836975098,16.3671875,8.430985450744629,2.5433857440948486,117342400,2185783,81200,5482281,1738800,1006200,847200,2159196,1127789,1143200,4652100,3569069,166375,7142400,312000,7858202,1370400,330240,100950,866263,-0.017391934682938093,-0.003999172874831758,0.0,0.02762338025873201,0.007500760246633487,0.015625838877056042,-0.020304598124193274,0.003025390429107766,0.00674114942183035,0.0061420211807992064,-0.0031395333291315275,0.005540256030074575,0.003389799533207727,-0.01690060545355354,0.001995788744671323,-0.004746932610680155,-0.0022887223917071875,-0.011792452830188704,-0.009090157087921602,-0.006944302870578123
1992-11-27,0.4132727086544037,3.5588536262512207,7.348503112792969,3.7703683376312256,5.668118476867676,4.473283767700195,4.4229655265808105,24.94954490661621,7.1987223625183105,11.2118501663208,1.2443952560424805,7.961235046386719,20.233036041259766,2.105705976486206,10.534965515136719,2.5553622245788574,6.508060932159424,16.71875,8.50832748413086,2.561171293258667,47196800,1285807,106000,1500675,704000,198000,1609600,1043640,542916,776000,2065200,1735698,176000,4377600,175800,5103468,1076400,611200,36150,353249,0.0,0.0,0.0,-0.00537556432450248,0.0024812175600474884,-0.0021976600695737813,-0.014248061654668964,0.0,0.006696477392695632,0.012210259466076456,0.0,0.00826453567704033,0.016891833921650834,0.004297502279348997,0.00996007321784309,0.014308341818263681,-0.002293095450052407,0.021479713603818507,0.009173546062684723,0.00699286343218386
1992-11-30,0.42148247361183167,3.5159735679626465,7.348503112792969,3.7296061515808105,5.6992316246032715,4.473283767700195,4.510146617889404,25.06244659423828,7.294494152069092,11.036031723022461,1.248314380645752,7.852473735809326,20.50191307067871,2.072664737701416,10.389512062072754,2.5032925605773926,6.493096828460693,16.71875,8.856399536132812,2.561171293258667,160507200,4667400,220800,4227057,2610000,431100,1035200,1789320,1757975,930800,4324800,3748906,326500,10348800,610800,12034572,2330000,1648640,219300,1364217,0.019865248262239676,-0.012048840101845593,0.0,-0.010811194663284396,0.0054891491528576974,0.0,0.01971100402765047,0.004525200280993236,0.013303998227440772,-0.015681483492035908,0.0031494210414586554,-0.013661361578158004,0.013289010550401104,-0.015691287935614806,-0.013806732718296577,-0.020376627430988337,-0.0022993183153503516,0.0,0.040909573902879526,0.0
1992-12-01,0.4269796311855316,3.5302672386169434,7.348503112792969,3.6684653759002686,5.727514743804932,4.473283767700195,4.603138446807861,24.91230010986328,7.374300003051758,11.04955768585205,1.2659521102905273,7.961235046386719,20.838014602661133,2.0396225452423096,10.618090629577637,2.499288320541382,6.433252334594727,16.484375,9.243139266967773,2.5700652599334717,130144000,4459782,115600,2609870,26528800,756000,684800,1755000,1683293,1065600,5619600,3503674,862625,6924800,801300,6325265,2484400,979840,153900,2873138,0.013042434544413783,0.004065352135903311,0.0,-0.01639335983361867,0.004962619711675442,0.0,0.020618360509524702,-0.005990894935593349,0.010940560005799682,0.0012256183353815953,0.014129236928001498,0.013850579350735304,0.016393666816542307,-0.015941889615852745,0.022000895339379323,-0.0015995893165148267,-0.009216633518178141,-0.014018691588784993,0.04366782790874768,0.003472616883616775
1992-12-02,0.4196501076221466,3.5159735679626465,7.348503112792969,3.709226369857788,5.713376045227051,4.453576564788818,4.556639671325684,25.101882934570312,7.501997470855713,10.968408584594727,1.269870638847351,7.983109951019287,21.039670944213867,2.0035758018493652,10.49341106414795,2.4592342376708984,6.388371467590332,16.25,9.281814575195312,2.5522804260253906,97776000,4641114,194900,2601714,25643600,1249200,641600,1147068,2707869,446800,3620700,2827504,728750,9820800,471000,8715737,1818400,641280,77550,1032575,-0.01716597942396969,-0.004048891964308243,0.0,0.011111184045867306,-0.002468557342986122,-0.004405533816941087,-0.010101537466122301,0.007610008865940543,0.017316554486678015,-0.007344104041488331,0.003095321319796618,0.002747677276843774,0.009677329889527186,-0.017673242275649592,-0.01174218320216458,-0.01602619535380656,-0.0069763884066925685,-0.014218009478673022,0.004184217840983218,-0.006919993116650036
1992-12-03,0.42148247361183167,3.5159735679626465,7.378012657165527,3.7703683376312256,5.713376045227051,4.492988109588623,4.475273609161377,24.760622024536133,7.326417922973633,10.995457649230957,1.2757503986358643,8.026850700378418,21.039670944213867,2.0095834732055664,10.368735313415527,2.4672458171844482,6.418291091918945,16.25,9.43651008605957,2.5522804260253906,187588800,3578964,273800,4024326,111208400,1401300,417600,1276080,1639658,880400,4100400,3030397,322375,9136000,493500,6573166,1366400,692160,99900,1203143,0.0043664137251573365,0.0,0.004015721830638697,0.016483752048754408,0.0,0.008849414448468984,-0.01785659346213664,-0.013595032329793644,-0.02340437311051946,0.0024660883507039433,0.004630203745674688,0.005479161583330727,0.0,0.0029984747024074387,-0.011881336771261353,0.0032577537311522242,0.004683450935876632,0.0,0.016666515971743845,0.0
1992-12-04,0.41690129041671753,3.5445592403411865,7.378012657165527,3.8111281394958496,5.7416582107543945,4.630929946899414,4.475273609161377,25.0639591217041,7.390264987945557,10.95488452911377,1.2835891246795654,8.00497817993164,20.972448348999023,2.0366179943084717,10.244064331054688,2.4552297592163086,6.373411655426025,16.328125,9.43651008605957,2.5522804260253906,95782400,2902200,245500,5628697,7002000,3123900,772000,1494636,1028353,1289600,4601400,3562152,206250,8454400,264300,9736430,1808400,933440,99150,1593714,-0.01086921398144114,0.008130229600987748,0.0,0.010810562315042072,0.004950166994691418,0.03070158076234497,0.0,0.012250786626740728,0.008714635943946947,-0.0036899892129569345,0.006144404149967642,-0.0027249193068641375,-0.003195040235804192,0.013452798285498169,-0.01202374046519783,-0.004870231366671085,-0.006992427711704496,0.004807692307692291,0.0,0.0
1992-12-07,0.42331477999687195,3.5874381065368652,7.466551303863525,4.035312175750732,5.727514743804932,4.7215681076049805,4.475273609161377,25.13979148864746,7.390264987945557,11.036031723022461,1.2816286087036133,8.136211395263672,21.106889724731445,2.064260721206665,10.389512062072754,2.499288320541382,6.418291091918945,16.4453125,9.43651008605957,2.5878515243530273,144222400,3534411,387100,34496501,2083600,1480500,484800,1094028,991850,600000,4191300,3977789,395000,7452800,404700,7277659,1990800,2058880,77100,2561467,0.01538371247002801,0.012097093965215189,0.012000338141465505,0.05882353677159191,-0.0024633070152053627,0.019572345456499995,0.0,0.0030255542061465857,0.0,0.007407398379511321,-0.0015273703541556216,0.016393950412136205,0.006410380585766928,0.013572858030049595,0.0141982445948865,0.01794478140373168,0.007041666052546969,0.0071770334928229484,0.0,0.013936986690381348
1992-12-08,0.4260634183883667,3.6160225868225098,7.466551303863525,3.953789234161377,5.6992316246032715,4.701604843139648,4.696129322052002,25.329381942749023,7.454111576080322,11.130702018737793,1.2816286087036133,8.179949760437012,21.51020622253418,2.0522420406341553,10.451851844787598,2.5233187675476074,6.3434834480285645,16.2109375,9.552535057067871,2.5789594650268555,196638400,3218973,389200,8700732,1643200,2234700,972000,1391832,1296035,1176000,5478000,4601349,406375,9948800,685200,9978007,1750400,1613760,72000,678998,0.006493131167107036,0.007967936849853752,0.0,-0.020202387829930113,-0.004938113731134841,-0.004228100497624343,0.049350214574257256,0.007541448949056617,0.008639282656157432,0.008578291372417723,0.0,0.005375765580378333,0.019108286586164258,-0.00582226869360003,0.006000260872925711,0.009614915897746545,-0.011655383468750502,-0.014251781472684133,0.01229532633888697,-0.0034360778593721664
1992-12-09,0.42239871621131897,3.6303138732910156,7.4960618019104,3.974172353744507,5.685089588165283,4.601784706115723,4.829805374145508,25.481063842773438,7.5179572105407715,11.252427101135254,1.280048131942749,8.333052635192871,21.308555603027344,2.0732760429382324,10.451851844787598,2.5513572692871094,6.403329849243164,16.015625,9.43651008605957,2.5967438220977783,159409600,4615273,163600,3744697,1263600,1431000,6147200,1572168,785425,957600,4499700,5320486,323375,18304000,480000,11345256,1655200,1686400,64500,479620,-0.008601306798198927,0.0039522116152110875,0.003952359911008063,0.0051553379241908726,-0.002481393522758002,-0.021231077547824606,0.028465155647607876,0.0059883774648452626,0.008565156800888873,0.010935975304391832,-0.001233178434166593,0.01871684780954941,-0.00937464836090629,0.010249279513627751,0.0,0.01111175571636247,0.009434311873738555,-0.012048192771084376,-0.012145987459366014,0.006895942845204006
